business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
1000,HEUNG YUEN RESTAURANT,3279 22nd St,San Francisco,CA,94110,37.755282,-122.420493,POINT (-122.420493 37.755282),,1000_20171002,10/2/2017 0:00,74,Routine - Unscheduled,1000_20171002_103103,High risk food holding temperature,High Risk,53,53,3,2,20
1000,HEUNG YUEN RESTAURANT,3279 22nd St,San Francisco,CA,94110,37.755282,-122.420493,POINT (-122.420493 37.755282),,1000_20171002,10/2/2017 0:00,74,Routine - Unscheduled,1000_20171002_103132,Improper thawing methods,Moderate Risk,53,53,3,2,20
1000,HEUNG YUEN RESTAURANT,3279 22nd St,San Francisco,CA,94110,37.755282,-122.420493,POINT (-122.420493 37.755282),,1000_20171002,10/2/2017 0:00,74,Routine - Unscheduled,1000_20171002_103142,Unclean nonfood contact surfaces,Low Risk,53,53,3,2,20
1000,HEUNG YUEN RESTAURANT,3279 22nd St,San Francisco,CA,94110,37.755282,-122.420493,POINT (-122.420493 37.755282),,1000_20171002,10/2/2017 0:00,74,Routine - Unscheduled,1000_20171002_103154,Unclean or degraded floors walls or ceilings,Low Risk,53,53,3,2,20
1000,HEUNG YUEN RESTAURANT,3279 22nd St,San Francisco,CA,94110,37.755282,-122.420493,POINT (-122.420493 37.755282),,1000_20180523,5/23/2018 0:00,76,Routine - Unscheduled,1000_20180523_103103,High risk food holding temperature,High Risk,53,53,3,2,20
1000,HEUNG YUEN RESTAURANT,3279 22nd St,San Francisco,CA,94110,37.755282,-122.420493,POINT (-122.420493 37.755282),,1000_20180523,5/23/2018 0:00,76,Routine - Unscheduled,1000_20180523_103105,Improper cooling methods,High Risk,53,53,3,2,20
1000,HEUNG YUEN RESTAURANT,3279 22nd St,San Francisco,CA,94110,37.755282,-122.420493,POINT (-122.420493 37.755282),,1000_20180523,5/23/2018 0:00,76,Routine - Unscheduled,1000_20180523_103133,Foods not protected from contamination,Moderate Risk,53,53,3,2,20
1000,HEUNG YUEN RESTAURANT,3279 22nd St,San Francisco,CA,94110,37.755282,-122.420493,POINT (-122.420493 37.755282),,1000_20180523,5/23/2018 0:00,76,Routine - Unscheduled,1000_20180523_103142,Unclean nonfood contact surfaces,Low Risk,53,53,3,2,20
1000,HEUNG YUEN RESTAURANT,3279 22nd St,San Francisco,CA,94110,37.755282,-122.420493,POINT (-122.420493 37.755282),,1000_20190617,6/17/2019 0:00,72,Routine - Unscheduled,1000_20190617_103131,Moderate risk vermin infestation,Moderate Risk,53,53,3,2,20
1000,HEUNG YUEN RESTAURANT,3279 22nd St,San Francisco,CA,94110,37.755282,-122.420493,POINT (-122.420493 37.755282),,1000_20190617,6/17/2019 0:00,72,Routine - Unscheduled,1000_20190617_103133,Foods not protected from contamination,Moderate Risk,53,53,3,2,20
1000,HEUNG YUEN RESTAURANT,3279 22nd St,San Francisco,CA,94110,37.755282,-122.420493,POINT (-122.420493 37.755282),,1000_20190617,6/17/2019 0:00,72,Routine - Unscheduled,1000_20190617_103142,Unclean nonfood contact surfaces,Low Risk,53,53,3,2,20
1000,HEUNG YUEN RESTAURANT,3279 22nd St,San Francisco,CA,94110,37.755282,-122.420493,POINT (-122.420493 37.755282),,1000_20190617,6/17/2019 0:00,72,Routine - Unscheduled,1000_20190617_103151,Inadequate or unsanitary refuse containers or area or no garbage service,Low Risk,53,53,3,2,20
1000,HEUNG YUEN RESTAURANT,3279 22nd St,San Francisco,CA,94110,37.755282,-122.420493,POINT (-122.420493 37.755282),,1000_20190617,6/17/2019 0:00,72,Routine - Unscheduled,1000_20190617_103157,Food safety certificate or food handler card not available,Low Risk,53,53,3,2,20
100126,Lamas Peruvian Food Truck,Private Location,San Francisco,CA,,,,,,100126_20190403,4/3/2019 0:00,85,Routine - Unscheduled,100126_20190403_103105,Improper cooling methods,High Risk,,,,,
1002,BIG MOUTH BURGERS,3392 24th St,San Francisco,CA,94110,37.752158,-122.420362,POINT (-122.420362 37.752158),,1002_20170928,9/28/2017 0:00,85,Routine - Unscheduled,1002_20170928_103150,Improper or defective plumbing,Low Risk,53,53,3,2,20
1002,BIG MOUTH BURGERS,3392 24th St,San Francisco,CA,94110,37.752158,-122.420362,POINT (-122.420362 37.752158),,1002_20180509,5/9/2018 0:00,90,Routine - Unscheduled,1002_20180509_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,53,53,3,2,20
1002,BIG MOUTH BURGERS,3392 24th St,San Francisco,CA,94110,37.752158,-122.420362,POINT (-122.420362 37.752158),,1002_20180509,5/9/2018 0:00,90,Routine - Unscheduled,1002_20180509_103161,Low risk vermin infestation,Low Risk,53,53,3,2,20
1002,BIG MOUTH BURGERS,3392 24th St,San Francisco,CA,94110,37.752158,-122.420362,POINT (-122.420362 37.752158),,1002_20190507,5/7/2019 0:00,92,Routine - Unscheduled,1002_20190507_103133,Foods not protected from contamination,Moderate Risk,53,53,3,2,20
1002,BIG MOUTH BURGERS,3392 24th St,San Francisco,CA,94110,37.752158,-122.420362,POINT (-122.420362 37.752158),,1002_20190507,5/7/2019 0:00,92,Routine - Unscheduled,1002_20190507_103144,Unapproved or unmaintained equipment or utensils,Low Risk,53,53,3,2,20
1002,BIG MOUTH BURGERS,3392 24th St,San Francisco,CA,94110,37.752158,-122.420362,POINT (-122.420362 37.752158),,1002_20190507,5/7/2019 0:00,92,Routine - Unscheduled,1002_20190507_103145,Improper storage of equipment utensils or linens,Low Risk,53,53,3,2,20
100219,NAYA CAFE,5338 geary BLVD,San Francisco,CA,94121,,,,14155995527,100219_20190618,6/18/2019 0:00,91,Routine - Unscheduled,100219_20190618_103103,High risk food holding temperature,High Risk,,,,,
100288,THE MEAT HOUSE,4217 GEARY BLVD,San Francisco,CA,94118,,,,14155706565,100288_20190702,7/2/2019 0:00,80,Routine - Unscheduled,100288_20190702_103105,Improper cooling methods,High Risk,,,,,
1003,RINCON PERUANO RESTAURANT,3364 26th St,San Francisco,CA,94110,37.749128,-122.417402,POINT (-122.417402 37.749128),14155897712,1003_20170823,8/23/2017 0:00,86,Routine - Unscheduled,1003_20170823_103131,Moderate risk vermin infestation,Moderate Risk,53,53,3,2,20
1003,RINCON PERUANO RESTAURANT,3364 26th St,San Francisco,CA,94110,37.749128,-122.417402,POINT (-122.417402 37.749128),14155897712,1003_20170823,8/23/2017 0:00,86,Routine - Unscheduled,1003_20170823_103142,Unclean nonfood contact surfaces,Low Risk,53,53,3,2,20
1003,RINCON PERUANO RESTAURANT,3364 26th St,San Francisco,CA,94110,37.749128,-122.417402,POINT (-122.417402 37.749128),14155897712,1003_20170823,8/23/2017 0:00,86,Routine - Unscheduled,1003_20170823_103144,Unapproved or unmaintained equipment or utensils,Low Risk,53,53,3,2,20
1003,RINCON PERUANO RESTAURANT,3364 26th St,San Francisco,CA,94110,37.749128,-122.417402,POINT (-122.417402 37.749128),14155897712,1003_20170823,8/23/2017 0:00,86,Routine - Unscheduled,1003_20170823_103157,Food safety certificate or food handler card not available,Low Risk,53,53,3,2,20
1003,RINCON PERUANO RESTAURANT,3364 26th St,San Francisco,CA,94110,37.749128,-122.417402,POINT (-122.417402 37.749128),14155897712,1003_20170823,8/23/2017 0:00,86,Routine - Unscheduled,1003_20170823_103162,Other low risk violation,Low Risk,53,53,3,2,20
1003,RINCON PERUANO RESTAURANT,3364 26th St,San Francisco,CA,94110,37.749128,-122.417402,POINT (-122.417402 37.749128),14155897712,1003_20180314,3/14/2018 0:00,92,Routine - Unscheduled,1003_20180314_103118,Employee eating or smoking,Moderate Risk,53,53,3,2,20
1003,RINCON PERUANO RESTAURANT,3364 26th St,San Francisco,CA,94110,37.749128,-122.417402,POINT (-122.417402 37.749128),14155897712,1003_20180314,3/14/2018 0:00,92,Routine - Unscheduled,1003_20180314_103161,Low risk vermin infestation,Low Risk,53,53,3,2,20
1003,RINCON PERUANO RESTAURANT,3364 26th St,San Francisco,CA,94110,37.749128,-122.417402,POINT (-122.417402 37.749128),14155897712,1003_20190313,3/13/2019 0:00,92,Routine - Unscheduled,1003_20190313_103120,Moderate risk food holding temperature,Moderate Risk,53,53,3,2,20
10030,Marshall Elementary School,1575 15th St,San Francisco,CA,94103,37.766864,-122.419014,POINT (-122.419014 37.766864),14155246280,10030_20170928,9/28/2017 0:00,93,Routine - Unscheduled,10030_20170928_103103,High risk food holding temperature,High Risk,53,53,3,2,20
10030,Marshall Elementary School,1575 15th St,San Francisco,CA,94103,37.766864,-122.419014,POINT (-122.419014 37.766864),14155246280,10030_20190220,2/20/2019 0:00,96,Routine - Unscheduled,10030_20190220_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,53,53,3,2,20
10030,Marshall Elementary School,1575 15th St,San Francisco,CA,94103,37.766864,-122.419014,POINT (-122.419014 37.766864),14155246280,10030_20190912,9/12/2019 0:00,98,Routine - Unscheduled,10030_20190912_103144,Unapproved or unmaintained equipment or utensils,Low Risk,53,53,3,2,20
1005,CHAVITA'S MEXICAN RESTAURANT,3006 MISSION St,San Francisco,CA,94110,37.748855,-122.418134,POINT (-122.418134 37.748855),14155286927,1005_20170713,7/13/2017 0:00,78,Routine - Unscheduled,1005_20170713_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,53,53,3,2,20
1005,CHAVITA'S MEXICAN RESTAURANT,3006 MISSION St,San Francisco,CA,94110,37.748855,-122.418134,POINT (-122.418134 37.748855),14155286927,1005_20170713,7/13/2017 0:00,78,Routine - Unscheduled,1005_20170713_103133,Foods not protected from contamination,Moderate Risk,53,53,3,2,20
1005,CHAVITA'S MEXICAN RESTAURANT,3006 MISSION St,San Francisco,CA,94110,37.748855,-122.418134,POINT (-122.418134 37.748855),14155286927,1005_20170713,7/13/2017 0:00,78,Routine - Unscheduled,1005_20170713_103144,Unapproved or unmaintained equipment or utensils,Low Risk,53,53,3,2,20
1005,CHAVITA'S MEXICAN RESTAURANT,3006 MISSION St,San Francisco,CA,94110,37.748855,-122.418134,POINT (-122.418134 37.748855),14155286927,1005_20170713,7/13/2017 0:00,78,Routine - Unscheduled,1005_20170713_103150,Improper or defective plumbing,Low Risk,53,53,3,2,20
1005,CHAVITA'S MEXICAN RESTAURANT,3006 MISSION St,San Francisco,CA,94110,37.748855,-122.418134,POINT (-122.418134 37.748855),14155286927,1005_20170713,7/13/2017 0:00,78,Routine - Unscheduled,1005_20170713_103156,Permit license or inspection report not posted,Low Risk,53,53,3,2,20
1005,CHAVITA'S MEXICAN RESTAURANT,3006 MISSION St,San Francisco,CA,94110,37.748855,-122.418134,POINT (-122.418134 37.748855),14155286927,1005_20170713,7/13/2017 0:00,78,Routine - Unscheduled,1005_20170713_103161,Low risk vermin infestation,Low Risk,53,53,3,2,20
1005,CHAVITA'S MEXICAN RESTAURANT,3006 MISSION St,San Francisco,CA,94110,37.748855,-122.418134,POINT (-122.418134 37.748855),14155286927,1005_20180122,1/22/2018 0:00,84,Routine - Unscheduled,1005_20180122_103120,Moderate risk food holding temperature,Moderate Risk,53,53,3,2,20
1005,CHAVITA'S MEXICAN RESTAURANT,3006 MISSION St,San Francisco,CA,94110,37.748855,-122.418134,POINT (-122.418134 37.748855),14155286927,1005_20180122,1/22/2018 0:00,84,Routine - Unscheduled,1005_20180122_103154,Unclean or degraded floors walls or ceilings,Low Risk,53,53,3,2,20
1005,CHAVITA'S MEXICAN RESTAURANT,3006 MISSION St,San Francisco,CA,94110,37.748855,-122.418134,POINT (-122.418134 37.748855),14155286927,1005_20180919,9/19/2018 0:00,86,Routine - Unscheduled,1005_20180919_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,53,53,3,2,20
1005,CHAVITA'S MEXICAN RESTAURANT,3006 MISSION St,San Francisco,CA,94110,37.748855,-122.418134,POINT (-122.418134 37.748855),14155286927,1005_20180919,9/19/2018 0:00,86,Routine - Unscheduled,1005_20180919_103142,Unclean nonfood contact surfaces,Low Risk,53,53,3,2,20
1005,CHAVITA'S MEXICAN RESTAURANT,3006 MISSION St,San Francisco,CA,94110,37.748855,-122.418134,POINT (-122.418134 37.748855),14155286927,1005_20180919,9/19/2018 0:00,86,Routine - Unscheduled,1005_20180919_103150,Improper or defective plumbing,Low Risk,53,53,3,2,20
1005,CHAVITA'S MEXICAN RESTAURANT,3006 MISSION St,San Francisco,CA,94110,37.748855,-122.418134,POINT (-122.418134 37.748855),14155286927,1005_20190808,8/8/2019 0:00,88,Routine - Unscheduled,1005_20190808_103132,Improper thawing methods,Moderate Risk,53,53,3,2,20
